hospital_code,local_code,common_code,mapping_status,confidence,mapping_method,mapped_by,version
H002,PROC-10,PROC-ECG,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,DIAG-20,DIAG-ECHO,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,DIAG-50,DIAG-PATH,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,GEN-C02,CONS-GEN,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,CARD-C01,CONS-CARD,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,PED-C03,CONS-PED,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,DERM-C04,CONS-DERM,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,ORTH-C05,CONS-ORTHO,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,ENT-C06,CONS-ENT,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,OPH-C07,CONS-OPHTH,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,BLOOD-CBC,LAB-CBC,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,BLOOD-GLU,LAB-GLU,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,BLOOD-LFT,LAB-LFT,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,BLOOD-KFT,LAB-KFT,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,BLOOD-LIP,LAB-LIPID,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,BLOOD-TSH,LAB-TSH,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,URINE-01,LAB-URINE,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,BLOOD-CRP,LAB-CRP,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,XR-CHEST,XR-CHEST,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,XR-EXT,XR-EXTREMITY,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,XR-SPINE,XR-SPINE,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,US-ABD,US-ABD,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,US-PELV,US-PELVIS,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,CT-HEAD,CT-HEAD,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,CT-CHEST,CT-CHEST,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,MRI-BRN,MRI-BRAIN,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,ECG-12,ECG-12,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,PR-ENDO,PROC-ENDO,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,PR-WND,PROC-WOUND,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,PR-SUT,PROC-SUTURE,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,PR-ECG,PROC-ECG,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,DG-ECHO,DIAG-ECHO,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H003,DG-PATH,DIAG-PATH,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
F033,AP-CT-001,CT-HEAD,MAPPED,1.0,MANUAL,SYSTEM,1.0
F033,AP-LAB-010,LAB-CBC,MAPPED,1.0,MANUAL,SYSTEM,1.0
